"#","Country,Other","TotalCases","NewCases","TotalDeaths","NewDeaths","TotalRecovered","NewRecovered","ActiveCases","Serious,Critical","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/ 1M pop","Population","Continent"
"","World","190,590,866","+320,709","4,095,828","+4,339","173,681,999","+202,098","12,813,039","79,634","24,451","525.5","","","","All"
"","Asia","58,817,376","+184,734","839,711","+2,879","55,559,907","+144,024","2,417,758","29,746","","","","","","Asia"
"","Europe","49,676,742","+106,662","1,118,947","+901","46,127,830","+38,472","2,429,965","6,301","","","","","","Europe"
"","North America","41,336,411","+19,548","928,517","+345","34,672,222","+12,610","5,735,672","11,871","","","","","","North America"
"1","USA","34,930,425","+569","624,615","+9","29,358,531","","4,947,279","4,871","104,890","1,876","516,080,602","1,549,703","333,019,037","North America"
"","South America","34,454,500","+1,239","1,050,216","+31","31,853,058","+1,388","1,551,226","27,249","","","","","","South America"
"2","India","31,102,766","+38,779","413,600","+477","30,258,812","+38,629","430,354","8,944","22,310","297","442,021,954","317,069","1,394,086,861","Asia"
"3","Brazil","19,308,109","","540,500","","17,951,699","","815,910","8,318","90,171","2,524","54,204,686","253,141","214,128,660","South America"
"","Africa","6,217,041","+7,208","157,067","+177","5,396,187","+5,445","663,787","4,415","","","","","","Africa"
"4","Russia","5,933,115","+25,116","147,655","+787","5,322,345","+21,437","463,115","2,300","40,638","1,011","158,500,000","1,085,620","145,999,538","Europe"
"5","France","5,844,249","","111,451","","5,656,992","","75,806","899","89,329","1,704","98,089,052","1,499,290","65,423,667","Europe"
"6","Turkey","5,514,373","","50,450","","5,375,262","","88,661","543","64,661","592","64,407,034","755,235","85,280,833","Asia"
"7","UK","5,386,340","+54,674","128,683","+41","4,390,942","+5,634","866,715","551","78,913","1,885","230,446,661","3,376,185","68,256,517","Europe"
"8","Argentina","4,737,213","","101,158","","4,363,105","","272,950","4,868","103,826","2,217","18,124,062","397,228","45,626,302","South America"
"9","Colombia","4,601,335","","115,333","","4,353,957","","132,045","8,155","89,441","2,242","21,439,559","416,741","51,445,706","South America"
"10","Italy","4,284,332","+3,121","127,864","+13","4,112,977","+2,328","43,491","161","70,969","2,118","74,627,294","1,236,179","60,369,335","Europe"
"11","Spain","4,100,222","","81,096","","3,660,683","","358,443","872","87,661","1,734","54,183,930","1,158,429","46,773,611","Europe"
"12","Germany","3,750,295","+373","91,882","+4","3,638,800","+600","19,613","379","44,613","1,093","65,845,568","783,294","84,062,401","Europe"
"13","Iran","3,501,079","+15,139","86,966","+175","3,118,349","+16,731","295,764","4,237","41,137","1,022","24,892,912","292,486","85,108,041","Asia"
"14","Poland","2,881,355","+114","75,212","+7","2,652,951","+208","153,192","60","76,219","1,990","18,082,617","478,332","37,803,491","Europe"
"15","Indonesia","2,832,755","+51,952","72,489","+1,092","2,232,394","+27,903","527,872","","10,244","262","23,153,859","83,731","276,525,194","Asia"
"16","Mexico","2,642,068","+12,420","236,015","+275","2,074,145","+5,970","331,908","4,798","20,271","1,811","7,900,346","60,614","130,338,559","North America"
"17","South Africa","2,269,179","","66,385","","2,009,456","","193,338","546","37,767","1,105","14,154,725","235,581","60,084,330","Africa"
"18","Ukraine","2,244,196","+591","52,718","+16","2,180,957","+676","10,521","177","51,638","1,213","11,138,052","256,282","43,460,209","Europe"
"19","Peru","2,090,175","","194,935","","N/A","N/A","N/A","2,087","62,490","5,828","14,917,790","445,998","33,448,125","South America"
"20","Netherlands","1,788,435","+11,036","17,775","","1,658,933","+1,062","111,727","81","104,134","1,035","15,010,077","873,985","17,174,287","Europe"
"21","Czechia","1,670,823","+233","30,336","","1,637,717","+4","2,770","6","155,720","2,827","31,444,493","2,930,620","10,729,637","Europe"
"22","Chile","1,596,549","","34,309","","1,547,042","","15,198","2,127","82,780","1,779","17,889,008","927,537","19,286,567","South America"
"23","Philippines","1,502,359","+6,040","26,598","+122","1,428,504","+7,213","47,257","2,031","13,523","239","15,809,298","142,306","111,093,687","Asia"
"24","Iraq","1,483,014","+8,149","17,789","+38","1,348,303","+7,920","116,922","658","36,034","432","12,467,303","302,925","41,156,416","Asia"
"25","Canada","1,422,641","","26,489","","1,391,397","","4,755","294","37,354","696","37,679,387","989,331","38,085,709","North America"
"26","Belgium","1,103,413","+1,344","25,209","+1","1,051,372","","26,832","86","94,778","2,165","16,330,887","1,402,752","11,642,037","Europe"
